id,answer
1,Công nghệ hàng không vũ trụ (CN7) và Công nghệ nông nghiệp (CN10).
2,4
3,2
4,"cho các bạn trẻ, những tài năng tương lai của đất nước, đóng góp nhiều hơn"
5,"Nghiên cứu của Lingfei Wu cho thấy các nhóm nghiên cứu lớn có xu hướng phát triển các ý tưởng hiện có, trong khi các nhóm nhỏ có xu hướng tạo ra những ý tưởng mới mang tính đột phá."
6,274
7,Not enough data to answer.
8,Dự án LawTech do 2 thành viên đảm nhận: Phạm Tùng Thủy và Đặng Minh Khôi.
9,2012
10,Jamaica
11,PG-13
12,517
13,Not enough data to answer.
14,0.99
15,Accept
16,Not enough data to answer.
17,"2023: $2,065.10"
18,-1039
19,Lightning
20,4.796%
21,10.87%
22,False
23,29.70
24,Listening Test 06
25,rammed earth
26,"Listening Test 13, Section 4"
27,B
28,C
29,Not enough data to answer.
30,"31,595,859"
31,Instagram
32,27/06/2026
33,UET shaped the way I learn and grow
34,3
35,Not enough data to answer.
36,Magnus Carlsen vs Lê Quang Liêm và Jose Martinez Alcantara vs Andrey Esipenko.
37,"22 người tham gia, Thái Lan."
38,"Có, Magnus Carlsen, hiện đứng top 1 thế giới."
39,"Có, Đầu Khương Duy đã từng thi đấu với Fabiano Caruana. Không tìm thấy thông tin Elo chênh lệch."
40,5
41,"Magnus Carlsen, 5 titles."
42,TacticsCourse
43,Dry Excavation Shield Tunneling Machine
44,Contact Person 1 and Contact Person 5
45,2000
46,47799
47,No paper specification is used the most; all are used once.
48,"Financial Management, Bachelor"
49,Civil Air Defense Garage and Non-Civil Air Defense Garage
50,"The file `/documents_4/StoreSalesDataStatisticsAnalysisTable1.xlsx` contains the store sales data statistics organized as requested. This Excel spreadsheet provides a comprehensive daily performance report for Shop A throughout April (April 1st to April 30th). The data is organized by weekdays (Monday through Sunday for each of the four weeks) and includes the following key metrics: Sales Target, Tag Price Sales, Actual Sales, Discount Rate, Promotional Activities, Daily Achievement Rate, Monthly Achievement Rate (which reached 85.3% by the end of April against a monthly target of 50,000), Store Information (area and actual efficiency), Customer Data (number of buyers, average transaction value, total items sold, average items per transaction), Financials (purchase amount and gross profit margin), and Environmental Context (weather and temperature). Sales performance varied significantly, with peak actual sales on weekends (e.g., 7,208.2 on Sunday, April 7th), and promotional activities like ""Storewide 30-50% off"" correlated with higher daily achievement rates. The table provides a clear view of how daily targets, actual performance, and external factors like weather and promotions interact over a full month."
51,"The loan details registration spreadsheet is located at /documents_5/LoanDetailsRegistrationForm1.xlsx. The relationshipis: Interest = Loan Amount × Monthly Interest × Loan Term. In this dataset, Loan Term is 12 months and Monthly Interest is 0.01, so Interest equals 12% of the Loan Amount."
52,No. Larger order quantity does not mean slower production progress. /documents_1/ProductionManufacturingForm(531).xlsx (Sheet28).
53,Norway Chess 2026
54,20
55,72.4 ㎡
56,23
57,1
58,YP-U385A
59,273.33 元/m²
60,Not enough data to answer.
61,B仓
62,根据数据湖中的 `documents_6/物资采购 (44).xlsx` 文件，分析联想公司物资采购表的物品流动情况：数据线流动最频繁，总流动数量为180个单位，占比50.8%；当前不存在严重的库存积压，键盘的入库转化率最低（70%），但整体库存量较低，不属于积压范畴。
63,Not enough data to answer.
64,"Chinese people love drinking hot water due to historical hygiene practices, public health campaigns, Traditional ChineseMedicine beliefs about balancing Yin and Yang, it being a common expression of care, and as a form of daily wellness (Yangsheng)."
65,1211
66,1.745.100 VNĐ và 1.869.750 VNĐ
67,"Trong list deal Diệp Lê, Coolmate xuất hiện ở khung 15:00–16:00 và 16:00–17:00. Trong list deal Will x B Trần, Coolmate xuất hiện ở khung 16:00–17:00 và 17:00–18:00. Có 1 khung giờ trùng nhau là 16:00–17:00."
68,Tổng phí đăng ký onsite là 500 USD. Đoàn nên đến trước 15:00 ngày 28/7.
69,FPT
70,SamsungVietnam RnD
71,Not enough data to answer.
72,وُلد صدام حسين في قرية العوجة، التي تبعد حوالي 23 كم عن مدينة تكريت، الواقعة شمال غرب بغداد، وتتبع محافظة صلاح الدين في العراق.
73,"Dựa trên nội dung email từ Phòng Đào tạo - Trường Đại học Công nghệ (file `email/nghi-le-3.png`): viên chức, người lao động và người học được nghỉ 04 ngày liên tục (từ thứ Năm 01/01/2026 đến hết Chủ nhật 04/01/2026) là do ngày làm việc thứ Sáu (02/01/2026) được hoán đổi sang làm bù vào thứ Bảy (10/01/2026)."
74,10
75,2
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
