id,answer,evidences
1,16,"[]"
2,"CDK12 and SMARCA4","[]"
3,"诸葛亮在“隆中对”中为刘备提出的战略规划是先夺取荆州和益州作为根据地，再联合孙权，等待时机从两路北伐中原，以兴复汉室。","[""]"
4,8,"[]"
5,3,"[]"
6,"SHINNYO","[]"
7,0.86,"[]"
8,5,"[]"
9,Not enough data to answer.,[]
10,"Nền kinh tế thị trường định hướng XHCN ở Việt Nam là nền kinh tế thị trường vận hành theo các quy luật kinh tế thị trường, có sự quản lý của Nhà nước và định hướng xã hội chủ nghĩa, do Đảng Cộng sản Việt Nam lãnh đạo, hướng tới mục tiêu dân giàu, nước mạnh, dân chủ, công bằng, văn minh.","[]"
11,"Anh cac thanh vien cua nhom iSE nam trong file "definitely-100-percent-not-ise-members-image.png".","[]"
12,"Tác động bền vững đến từ việc kết hợp hệ thống/công nghệ với sự tham gia và trách nhiệm của cộng đồng/con người.","[]"
13,,"[]"
14,,"[]"
15,"Vietnam Airlines, Vietjet Air và Bamboo Airways.","[]"
