STT,Question
1,"Từ năm 2024 đến năm 2026, những ngành nào của Trường Đại học Công nghệ, Đại học Quốc gia Hà Nội không thay đổi số lượng tuyển sinh?"
2,"Giảng viên Nguyễn Văn Sơn tham gia giảng dạy bao nhiêu lớp Trường Đại học Công nghệ cho sinh viên trong học kỳ II năm học 2025-2026? Yêu cầu trả về duy nhất dưới dạng chữ số (ví dụ với đáp án là 12 lớp, cần trả về: 12)"
3,"Trong học kỳ II năm học 2025-2026 của Trường Đại học Công nghệ, ngoại trừ các ngày cuối tuần (Thứ Bảy và Chủ Nhật), giảng viên Nguyễn Thu Trang không tham gia giảng dạy vào thứ mấy trong tuần? Yêu cầu trả về dưới dạng chữ số (ví dụ với đáp án là Thứ ba, cần trả về: 3) "
4,"Hãy điền vào chỗ chấm câu văn phù hợp. 
Trong video ghi lại buổi phỏng vấn với đài truyền hình Hà Nội, tiến sĩ Nguyễn Văn Sơn đã chia sẻ: ""Tôi tin rằng những cái đóng góp của mình sẽ được phát huy mạnh mẽ nhất khi tôi được đóng góp cho cội nguồn của mình, nơi mình được sinh ra lớn lên và được đào tạo. Tôi mong muốn có thể truyền được cảm hứng ...................... cho sự phát triển của đất nước và cho thủ đô."""
5,"Theo bài viết ""Bartleby: The collaboration conundrum"" của magazine The Economist November 2023, nghiên cứu của Lingfei Wu từ Đại học Chicago đã chỉ ra mối tương quan như thế nào giữa quy mô của nhóm nghiên cứu khoa học và tính chất công việc của họ?"
6,"According to the article ""Narendra Modi's southern push"" from The Economist March 2024, how many seats did the BJP win in the lower house (Lok Sabha) in regions OUTSIDE the 5 southern states in 2019? Please return a specific number (for example, if the answer is 120 seats, return: 120)."
7,"Theo dự án làm về xe tự hành của thành viên Nguyễn Trung Hiếu, Vương Trường Giang của iSE - Trường Đại học Công nghệ, dự án định nghĩa nhóm thuộc tính chính dùng để khái quát môi trường hoạt động của xe tự hành là gì?"
8,"Dự án LawTech của nhóm nghiên cứu iSE Trường Đại học Công nghệ do bao nhiêu thành viên đảm nhận, và hãy cho biết họ và tên đầy đủ của các thành viên."
9,"Theo thông tin được cung cấp tại file ""analysis/image.jpg"", hãy trả lời câu hỏi sau: 
""In which year the Mexican governments campaign against drugs traffickers is making 47 percent progress?""
Yêu cầu trả về đáp án duy nhất dưới dạng chữ số"
10,"According to the chart data from the Organisation for Economic Co-operation and Development (OECD), based on the line chart titled 'Country Programmable Aid (CPA) received, 2005 to 2012', which country received the higher Country Programmable aid, Jamaica or Tonga?"
11,"What is the rating of the movie ""Dick Johnson Is Dead""?"
12,How many titles released in 2020 are classified as Movies?
13,"Nội dung chính của bộ phim ""Naruto Shippuden: The Movie"" là gì?"
14,What is the unit price of the track “For Those About To Rock (We Salute You)”?
15,Which artist released the album “Balls to the Wall”?
16,"Among Canadian billing cities, which city generated the highest invoice total?"
17,"Find the year with the highest suppression cost per acre of human-caused fire. What was the cost per acre, rounded to the nearest cent?"
18,"On average, how many more annual fires are reported by NOAA compared to NIFC since 2000? Round to the nearest whole number."
19,Did lighting or humans cause more fires impacting above 100 acres? Answer with **only** 'Lightning' or 'Human'. No explanation needed.
20,"What percentage (to 3 decimal places) of water samples collected from Massachusetts beaches during the 2013 bathing season exceeded bacterial standards, leading to temporary closures?"
21,What was the difference in bacterial exceedance rates (to 2 decimal places) for marine beach samples collected in 2023 between communities with more than 50% environmental justice (EJ) populations and those with less than 25% EJ populations?
22,"Is it true (answer with True or False) that the exceedance rate of fresh water beaches follow the same trend as the rainfall, from 2020 to 2023 (inclusive)? (e.g., they both increase and decrease together) Impute missing values with median of the month in non-missing years."
23,Calculate the mean age of the passengers from the file `da-dev-tables/test_x.csv`. Round the result to two decimal places.
24,Which IELTS Listening test is missing audio?
25,"According to the information in the IELTS Listening audio, before the use of bricks, the Great Wall was mainly built from stones, wood, and ______."
26,"According to the IELTS Listening audio, which listening test is about Chimpanzee Behaviours, and which section is it?"
27,"According to the metadata of the IELTS Listening audio collection, what is the average duration of a listening test?
A. 21 minutes
B. 24 minutes
C. 27 minutes
D. 30 minutes
Return A, B, C, or D only."
28,"Trong data lake có bao gồm đầu bài của bài IELTS Listening không?
A. Có, bao gồm toàn bộ đề bài.
B. Chỉ bao gồm đáp án.
C. Không, chỉ bao gồm các file âm thanh.
Chỉ trả lời A, B hoặc C."
29,"Which social media network is used by fans to organize contest, Facebook, Twitter, or Whatsapp?"
30,What is the number of followers of Mark Zuckerberg on Facebook?
31,Which social sharing site is all about pictures and 15 second videos?
32,"Theo kế hoạch kết thúc khóa học của Trường Đại học Công nghê, Đại học Quốc gia Hà Nội đợt xét tháng 6 năm 2026, hạn cuối để sinh viên thực hiện thanh toán các khoản nợ tại các đơn vị là ngày bao nhiêu? "
33,"Slogan của sinh viên có tên Nguyễn Hà Linh trong ảnh bìa thiết kế/backdrop cho “Lễ bế giảng và trao bằng tốt nghiệp đợt 1 năm 2026” của Trường Đại học Công nghệ, Đại học Quốc gia Hà Nội là gì"
34,"Trong ảnh bìa thiết kế/backdrop cho “Lễ bế giảng và trao bằng tốt nghiệp đợt 1 năm 2026” của Trường Đại học Công nghệ, Đại học Quốc gia Hà Nội, có bao nhiêu sinh viên có họ và tên là ""Nguyễn Tuấn Anh""? 
(Yêu cầu trả về đúng số lượng. Ví dụ nếu kết quả 8 sinh viên, cần trả về: 8)"
35,"Hãy kiểm tra danh sách đăng ký văn nghệ tại khoá quân sự 152 của Trường Đại học Công nghệ (UET x HOLA). Có bao nhiêu tiết mục có số lượng người diễn ít hơn 30 người, cần hỗ trợ thuê trang phục và có yêu cầu sử dụng đạo cụ? (Yêu cầu trả về duy nhất số lượng, ví dụ với đáp án là 8 tiết mục cần trả về: 8)"
36,Trận bán kết Asean E-sports Chess Cup 2026 là những trận đấu giữa ai?
37,Giải đấu Asean E-sports Chess Cup 2026 có bao nhiêu người tham gia và quốc gia nào có số lượng người tham gia nhiều nhất?
38,Có kì thủ nào vừa tham gia giải Norway Chess 2026 và Asean E-sports Chess Cup 2026 không? Họ đứng top bao nhiêu thế giới hiện tại?
39,Đầu Khương Duy đã từng thi đấu với Fabiano Caruana bao giờ chưa? Nếu có thì elo của họ trong trận đấu đó chênh nhau bao nhiêu?
40,Việt Nam có bao nhiều kì thủ tham gia giải đấu Asian Individual Chess Championship?
41,"Who has won the most Norway Chess tournaments since 2013, and by how many titles do they lead the second-most successful player?"
42,Which chess book has more pages? Return only book name.
43,Find the spreadsheet about underground engineering machinery depreciation costs. What is the machinery name for number 11-1?
44,"Find the loan details registration spreadsheet that records customer names, loan amounts, loan dates, loan terms, monthly interest, guarantors, and loan reasons. What is the name of the contact person for Bell Original Ecology?"
45,"Find the financial budget spreadsheet about compensation categories, position definitions, application conditions, and position salaries. What is the minimum value of the position salary?"
46,"Using the loan project registration file, what is the total loan amount from April 1, 2019 to April 7, 2019?"
47,Find the application materials spreadsheet that contains paper specifications and applicants. Which paper specification is used the most times for material applications?
48,"In the financial budget and compensation management spreadsheet, which compensation category has the highest position salary, and what education requirement is listed for that category?"
49,"Find the pile single calculation spreadsheet about compaction expansion piles, engineering quantity, total price, and unit index. Which project has the highest unit index in yuan per square meter?"
50,"Find the store sales data statistics spreadsheet organized by weekdays, dates, weather, sales targets, and actual sales. Summarize the main information contained in the table."
51,"Find the loan details registration spreadsheet. Analyze the relationship between loan term, monthly interest, and interest."
52,"Find the production manufacturing spreadsheet with order quantities, production progress, daily output, and order information. What is the relationship between order quantity and production progress? Does a larger order quantity mean slower production progress?"
53,What is the famous chess tournament in 2026?
54,找到包含联想公司物品入库明细、出库明细和库存明细的物资采购表。鼠标的入库单价是多少？
55,找到装修报价表，其中包含一楼、二楼、三楼装修项目以及地砖、电视背景、人工费和主材费用等信息。一楼的“地砖(1000×1000)”工程量是多少？
56,找到商品物流管理表，其中包含仓库位置、时间、货品名称、入库数量、出库数量、库存数量和库存预警。截止到2020年4月20日，B仓的总库存数量是多少？
57,找到建筑消防设施故障维修记录表，其中记录了各区域故障设备、登记故障数、已排除数和维修状态。登记故障数和已排除数之间的差值是多少？
58,在材料成本表中，比较YP-U358A和YP-U385A的直接折旧成本，哪个工序的直接折旧成本更高？
59,找到桩单方计算表，其中包含项目名称、楼座建筑面积、夯扩桩工程量和单方指标。哪个项目的单方指标（元/m2）最高？
60,找到装修报价表，并对该表进行总结分析，说明总工程量、总辅材费用、总人工费、总主材费和总合价。
61,找到商品物流管理表，分析库存位置和库存预警之间的关系。库存过低的情况在哪些仓库中出现频率较高？
